sku,size_code,size,quantity,promotion_code,list_unit_price_ex_gst,discount_ex_gst,unit_price_ex_gst,loaded_landed_cost,product_gross_margin_pct,checkout_route,configuration
FP-101,100G,100 g,250,PACK7,19.79,346.33,18.40,11.96,35.02,online checkout,standard
FP-101,100G,100 g,250,PACK7,29.70,519.75,27.62,17.95,35.01,online checkout,premium
FP-101,250G,250 g,250,PACK7,24.14,422.45,22.45,14.59,35.01,online checkout,standard
FP-101,250G,250 g,250,PACK7,36.20,633.50,33.67,21.88,35.01,online checkout,premium
FP-101,500G,500 g,250,PACK7,28.49,498.58,26.50,17.22,35.01,online checkout,standard
FP-101,500G,500 g,250,PACK7,42.72,747.60,39.73,25.82,35.01,online checkout,premium
FP-101,1KG,1 kg,250,PACK7,34.28,599.90,31.88,20.72,35.01,online checkout,standard
FP-101,1KG,1 kg,250,PACK7,51.42,899.85,47.82,31.08,35.01,online checkout,premium
FP-101,100G,100 g,500,PACK7,15.39,538.65,14.31,9.30,35.02,online checkout,standard
FP-101,100G,100 g,500,PACK7,23.08,807.80,21.46,13.95,35.01,online checkout,premium
FP-101,250G,250 g,500,PACK7,18.76,656.60,17.45,11.34,35.00,online checkout,standard
FP-101,250G,250 g,500,PACK7,28.14,984.90,26.17,17.01,35.00,online checkout,premium
FP-101,500G,500 g,500,PACK7,22.14,774.90,20.59,13.38,35.02,online checkout,standard
FP-101,500G,500 g,500,PACK7,33.21,1162.35,30.89,20.07,35.02,online checkout,premium
FP-101,1KG,1 kg,500,PACK7,26.64,932.40,24.78,16.10,35.02,online checkout,standard
FP-101,1KG,1 kg,500,PACK7,39.96,1398.60,37.16,24.15,35.02,online checkout,premium
FP-101,100G,100 g,1000,PACK7,11.87,830.90,11.04,7.17,35.05,online checkout,standard
FP-101,100G,100 g,1000,PACK7,17.80,1246.00,16.55,10.76,35.00,online checkout,premium
FP-101,250G,250 g,1000,PACK7,14.48,1013.60,13.47,8.75,35.02,online checkout,standard
FP-101,250G,250 g,1000,PACK7,21.73,1521.10,20.21,13.13,35.03,online checkout,premium
FP-101,500G,500 g,1000,PACK7,17.08,1195.60,15.88,10.32,35.03,online checkout,standard
FP-101,500G,500 g,1000,PACK7,25.63,1794.10,23.84,15.49,35.01,online checkout,premium
FP-101,1KG,1 kg,1000,PACK7,20.55,1438.50,19.11,12.42,35.01,online checkout,standard
FP-101,1KG,1 kg,1000,PACK7,30.84,2158.80,28.68,18.64,35.01,online checkout,premium
FP-101,100G,100 g,2500,PACK7,8.79,1538.25,8.17,5.31,35.04,online checkout,standard
FP-101,100G,100 g,2500,PACK7,13.19,2308.25,12.27,7.97,35.03,online checkout,premium
FP-101,250G,250 g,2500,PACK7,10.72,1876.00,9.97,6.48,35.00,online checkout,standard
FP-101,250G,250 g,2500,PACK7,16.08,2814.00,14.95,9.72,35.00,online checkout,premium
FP-101,500G,500 g,2500,PACK7,12.66,2215.50,11.77,7.65,35.03,online checkout,standard
FP-101,500G,500 g,2500,PACK7,18.98,3321.50,17.65,11.47,35.02,payment confirmation,premium
FP-101,1KG,1 kg,2500,PACK7,15.22,2663.50,14.15,9.20,35.00,online checkout,standard
FP-101,1KG,1 kg,2500,PACK7,22.83,3995.25,21.23,13.80,35.00,payment confirmation,premium
FP-101,100G,100 g,5000,PACK7,7.05,2467.50,6.56,4.26,35.03,online checkout,standard
FP-101,100G,100 g,5000,PACK7,10.56,3696.00,9.82,6.38,35.04,payment confirmation,premium
FP-101,250G,250 g,5000,PACK7,8.59,3006.50,7.99,5.19,35.03,online checkout,standard
FP-101,250G,250 g,5000,PACK7,12.89,4511.50,11.99,7.79,35.02,payment confirmation,premium
FP-101,500G,500 g,5000,PACK7,10.13,3545.50,9.42,6.12,35.04,payment confirmation,standard
FP-101,500G,500 g,5000,PACK7,15.21,5323.50,14.15,9.19,35.03,payment confirmation,premium
FP-101,1KG,1 kg,5000,PACK7,12.20,4270.00,11.35,7.37,35.04,payment confirmation,standard
FP-101,1KG,1 kg,5000,PACK7,18.28,6398.00,17.00,11.05,35.00,payment confirmation,premium
FP-103,250G,250 g,500,PACK7,19.97,698.95,18.57,12.07,35.01,online checkout,standard
FP-103,250G,250 g,500,PACK7,29.96,1048.60,27.86,18.11,35.00,online checkout,premium
FP-103,500G,500 g,500,PACK7,23.23,813.05,21.60,14.04,35.01,online checkout,standard
FP-103,500G,500 g,500,PACK7,34.84,1219.40,32.40,21.06,35.00,online checkout,premium
FP-103,1KG,1 kg,500,PACK7,29.73,1040.55,27.65,17.97,35.01,online checkout,standard
FP-103,1KG,1 kg,500,PACK7,44.60,1561.00,41.48,26.96,35.00,online checkout,premium
FP-103,2KG,2 kg,500,PACK7,36.70,1284.50,34.13,22.18,35.02,online checkout,standard
FP-103,2KG,2 kg,500,PACK7,55.04,1926.40,51.19,33.27,35.00,online checkout,premium
FP-103,250G,250 g,1000,PACK7,16.13,1129.10,15.00,9.75,35.00,online checkout,standard
FP-103,250G,250 g,1000,PACK7,24.21,1694.70,22.52,14.63,35.02,online checkout,premium
FP-103,500G,500 g,1000,PACK7,18.76,1313.20,17.45,11.34,35.00,online checkout,standard
FP-103,500G,500 g,1000,PACK7,28.14,1969.80,26.17,17.01,35.00,online checkout,premium
FP-103,1KG,1 kg,1000,PACK7,24.02,1681.40,22.34,14.52,35.00,online checkout,standard
FP-103,1KG,1 kg,1000,PACK7,36.02,2521.40,33.50,21.77,35.01,online checkout,premium
FP-103,2KG,2 kg,1000,PACK7,29.65,2075.50,27.57,17.92,35.01,online checkout,standard
FP-103,2KG,2 kg,1000,PACK7,44.47,3112.90,41.36,26.88,35.01,payment confirmation,premium
FP-103,250G,250 g,2500,PACK7,12.30,2152.50,11.44,7.43,35.05,online checkout,standard
FP-103,250G,250 g,2500,PACK7,18.45,3228.75,17.16,11.15,35.02,payment confirmation,premium
FP-103,500G,500 g,2500,PACK7,14.30,2502.50,13.30,8.64,35.03,online checkout,standard
FP-103,500G,500 g,2500,PACK7,21.44,3752.00,19.94,12.96,35.00,payment confirmation,premium
FP-103,1KG,1 kg,2500,PACK7,18.30,3202.50,17.02,11.06,35.01,payment confirmation,standard
FP-103,1KG,1 kg,2500,PACK7,27.45,4803.75,25.53,16.59,35.01,payment confirmation,premium
FP-103,2KG,2 kg,2500,PACK7,22.59,3953.25,21.01,13.65,35.03,payment confirmation,standard
FP-103,2KG,2 kg,2500,PACK7,33.88,5929.00,31.51,20.48,35.00,payment confirmation,premium
FP-103,250G,250 g,5000,PACK7,9.53,3335.50,8.86,5.76,35.01,payment confirmation,standard
